Date	Open	Change %
10/03/1996	694.01	-0.18%
10/04/1996	692.78	1.25%
10/07/1996	701.46	0.27%
10/08/1996	703.34	-0.38%
10/09/1996	700.64	-0.56%
10/10/1996	696.74	-0.31%
10/11/1996	694.61	0.87%
10/14/1996	700.66	0.41%
10/15/1996	703.54	-0.14%
10/16/1996	702.57	0.26%
10/17/1996	705.0	0.37%
10/18/1996	706.99	0.54%
10/21/1996	710.82	-0.14%
10/22/1996	709.85	-0.46%
10/23/1996	706.57	0.10%
10/24/1996	707.27	-0.70%
10/25/1996	702.29	-0.20%
10/28/1996	700.92	-0.52%
10/29/1996	697.26	0.61%
10/30/1996	701.5	-0.09%
10/31/1996	700.9	0.62%
11/01/1996	705.27	-0.21%
11/04/1996	703.77	0.42%
11/05/1996	706.73	1.05%
11/06/1996	714.14	1.46%
11/07/1996	724.59	0.42%
11/08/1996	727.65	0.44%
11/11/1996	730.82	0.14%
11/12/1996	731.87	-0.32%
11/13/1996	729.56	0.22%
11/14/1996	731.13	0.65%
11/15/1996	735.88	0.24%
11/18/1996	737.62	-0.08%
11/19/1996	737.02	0.70%
11/20/1996	742.16	0.24%
11/21/1996	743.95	-0.16%
11/22/1996	742.75	0.81%
11/25/1996	748.73	1.11%
11/26/1996	757.03	-0.14%
11/27/1996	755.96	-0.13%
11/29/1996	755.0	0.27%
12/02/1996	757.02	-0.06%
12/03/1996	756.56	-1.09%
12/04/1996	748.28	-0.42%
12/05/1996	745.1	-0.10%
12/06/1996	744.38	-0.64%
12/09/1996	739.6	1.37%
12/10/1996	749.76	-0.30%
12/11/1996	747.54	-0.91%
12/12/1996	740.73	-1.54%
12/13/1996	729.33	-0.09%
12/16/1996	728.64	-1.05%
12/17/1996	720.98	0.70%
12/18/1996	726.04	0.76%
12/19/1996	731.54	1.94%
12/20/1996	745.76	0.42%
12/23/1996	748.87	-0.26%
12/24/1996	746.92	0.55%
12/26/1996	751.03	0.64%
12/27/1996	755.82	0.13%
12/30/1996	756.79	-0.39%
12/31/1996	753.85	-1.74%
01/02/1997	740.74	-0.50%
01/03/1997	737.01	1.50%
01/06/1997	748.03	-0.05%
01/07/1997	747.65	0.75%
01/08/1997	753.23	-0.64%
01/09/1997	748.41	0.86%
01/10/1997	754.85	0.62%
01/13/1997	759.5	0.00%
01/14/1997	759.51	1.23%
01/15/1997	768.86	-0.22%
01/16/1997	767.2	0.33%
01/17/1997	769.75	0.83%
01/20/1997	776.17	0.07%
01/21/1997	776.7	0.78%
01/22/1997	782.72	0.45%
01/23/1997	786.23	-1.10%
01/24/1997	777.56	-0.91%
01/27/1997	770.52	-0.71%
01/28/1997	765.02	0.00%
01/29/1997	765.02	0.98%
01/30/1997	772.5	1.51%
01/31/1997	784.17	0.25%
02/03/1997	786.16	0.07%
02/04/1997	786.73	0.32%
02/05/1997	789.26	-1.39%
02/06/1997	778.28	0.24%
02/07/1997	780.15	1.21%
02/10/1997	789.56	-0.52%
02/11/1997	785.43	0.53%
02/12/1997	789.59	1.67%
02/13/1997	802.77	1.13%
02/14/1997	811.82	-0.41%
02/18/1997	808.48	0.97%
02/19/1997	816.29	-0.47%
02/20/1997	812.49	-1.19%
02/21/1997	802.8	-0.13%
02/24/1997	801.77	1.06%
02/25/1997	810.28	0.22%
02/26/1997	812.1	-0.78%
02/27/1997	805.68	-1.32%
02/28/1997	795.07	-0.53%
03/03/1997	790.82	0.57%
03/04/1997	795.31	-0.55%
03/05/1997	790.95	1.40%
03/06/1997	801.99	-0.43%
03/07/1997	798.56	0.80%
03/10/1997	804.97	1.08%
03/11/1997	813.65	-0.28%
03/12/1997	811.34	-0.87%
03/13/1997	804.26	-1.83%
03/14/1997	789.56	0.46%
03/17/1997	793.17	0.32%
03/18/1997	795.71	-0.76%
03/19/1997	789.66	-0.49%
03/20/1997	785.77	-0.40%
03/21/1997	782.65	0.19%
03/24/1997	784.1	0.87%
03/25/1997	790.89	-0.23%
03/26/1997	789.07	0.18%
03/27/1997	790.5	-2.10%
03/31/1997	773.88	-2.17%
04/01/1997	757.12	0.33%
04/02/1997	759.64	-1.25%
04/03/1997	750.11	0.03%
04/04/1997	750.32	1.01%
04/07/1997	757.9	0.56%
04/08/1997	762.13	0.52%
04/09/1997	766.12	-0.72%
04/10/1997	760.6	-0.30%
04/11/1997	758.34	-2.73%
04/14/1997	737.65	0.82%
04/15/1997	743.73	1.48%
04/16/1997	754.72	1.17%
04/17/1997	763.53	-0.23%
04/18/1997	761.77	0.60%
04/21/1997	766.34	-0.78%
04/22/1997	760.37	1.87%
04/23/1997	774.61	-0.13%
04/24/1997	773.64	-0.32%
04/25/1997	771.18	-0.75%
04/28/1997	765.37	0.99%
04/29/1997	772.96	2.73%
04/30/1997	794.05	0.92%
05/01/1997	801.34	-0.35%
05/02/1997	798.53	1.81%
05/05/1997	812.97	2.13%
05/06/1997	830.24	-0.30%
05/07/1997	827.76	-1.47%
05/08/1997	815.62	0.57%
05/09/1997	820.26	0.55%
05/12/1997	824.78	1.56%
05/13/1997	837.66	-0.54%
05/14/1997	833.13	0.35%
05/15/1997	836.04	0.70%
05/16/1997	841.88	-1.44%
05/19/1997	829.75	0.42%
05/20/1997	833.27	1.01%
05/21/1997	841.66	-0.27%
05/22/1997	839.35	-0.44%
05/23/1997	835.66	1.36%
05/27/1997	847.03	0.32%
05/28/1997	849.71	-0.29%
05/29/1997	847.21	-0.37%
05/30/1997	844.08	0.50%
06/02/1997	848.28	-0.23%
06/03/1997	846.36	-0.10%
06/04/1997	845.48	-0.64%
06/05/1997	840.11	0.40%
06/06/1997	843.43	1.73%
06/09/1997	858.01	0.57%
06/10/1997	862.91	0.27%
06/11/1997	865.27	0.50%
06/12/1997	869.57	1.60%
06/13/1997	883.48	1.11%
06/16/1997	893.27	0.07%
06/17/1997	893.9	0.06%
06/18/1997	894.42	-0.60%
06/19/1997	889.06	1.00%
06/20/1997	897.99	0.08%
06/23/1997	898.7	-2.23%
06/24/1997	878.62	2.02%
06/25/1997	896.34	-0.82%
06/26/1997	888.99	-0.60%
06/27/1997	883.68	0.41%
06/30/1997	887.3	-0.24%
07/01/1997	885.14	0.67%
07/02/1997	891.03	1.46%
07/03/1997	904.03	1.43%
07/07/1997	916.92	-0.51%
07/08/1997	912.2	0.72%
07/09/1997	918.75	-1.22%
07/10/1997	907.54	0.69%
07/11/1997	913.78	0.32%
07/14/1997	916.68	0.19%
07/15/1997	918.38	0.80%
07/16/1997	925.76	1.17%
07/17/1997	936.59	-0.53%
07/18/1997	931.61	-1.75%
07/21/1997	915.3	-0.26%
07/22/1997	912.94	2.30%
07/23/1997	933.98	0.28%
07/24/1997	936.56	0.40%
07/25/1997	940.3	-0.16%
07/28/1997	938.79	-0.25%
07/29/1997	936.45	0.62%
07/30/1997	942.29	1.06%
07/31/1997	952.29	0.21%
08/01/1997	954.29	-0.75%
08/04/1997	947.14	0.33%
08/05/1997	950.3	0.22%
08/06/1997	952.37	0.83%
08/07/1997	960.32	-0.95%
08/08/1997	951.19	-1.86%
08/11/1997	933.54	0.37%
08/12/1997	937.0	-1.12%
08/13/1997	926.53	-0.49%
08/14/1997	922.02	0.30%
08/15/1997	924.77	-2.59%
08/18/1997	900.81	1.30%
08/19/1997	912.49	1.48%
08/20/1997	926.01	1.44%
08/21/1997	939.35	-1.52%
08/22/1997	925.05	-0.16%
08/25/1997	923.55	-0.37%
08/26/1997	920.16	-0.78%
08/27/1997	913.02	0.07%
08/28/1997	913.7	-1.10%
08/29/1997	903.67	-0.46%
09/02/1997	899.47	3.13%
09/03/1997	927.58	0.03%
09/04/1997	927.86	0.32%
09/05/1997	930.87	-0.20%
09/08/1997	929.05	0.23%
09/09/1997	931.2	0.26%
09/10/1997	933.62	-1.56%
09/11/1997	919.03	-0.70%
09/12/1997	912.59	1.24%
09/15/1997	923.91	-0.45%
09/16/1997	919.77	2.81%
09/17/1997	945.64	-0.28%
09/18/1997	943.0	0.45%
09/19/1997	947.29	0.34%
09/22/1997	950.51	0.52%
09/23/1997	955.43	-0.37%
09/24/1997	951.93	-0.78%
09/25/1997	944.48	-0.70%
09/26/1997	937.91	0.78%
09/29/1997	945.22	0.86%
09/30/1997	953.34	-0.64%
10/01/1997	947.28	0.86%
10/02/1997	955.41	0.53%
10/03/1997	960.46	0.48%
10/06/1997	965.03	0.79%
10/07/1997	972.69	1.07%
10/08/1997	983.12	-0.94%
10/09/1997	973.84	-0.33%
10/10/1997	970.62	-0.38%
10/13/1997	966.98	0.12%
10/14/1997	968.1	0.23%
10/15/1997	970.28	-0.47%
10/16/1997	965.72	-1.08%
10/17/1997	955.23	-1.16%
10/20/1997	944.16	1.21%
10/21/1997	955.61	1.74%
10/22/1997	972.28	-0.39%
10/23/1997	968.49	-1.84%
10/24/1997	950.69	-0.95%
10/27/1997	941.64	-6.87%
10/28/1997	876.99	5.12%
10/29/1997	921.85	-0.29%
10/30/1997	919.16	-1.68%
10/31/1997	903.68	1.21%
11/03/1997	914.62	2.66%
11/04/1997	938.99	0.19%
11/05/1997	940.76	0.21%
11/06/1997	942.76	-0.50%
11/07/1997	938.03	-1.12%
11/10/1997	927.51	-0.69%
11/11/1997	921.13	0.29%
11/12/1997	923.78	-1.93%
11/13/1997	905.96	1.18%
11/14/1997	916.66	1.28%
11/17/1997	928.35	1.92%
11/18/1997	946.2	-0.84%
11/19/1997	938.23	0.68%
11/20/1997	944.59	1.52%
11/21/1997	958.98	0.43%
11/24/1997	963.09	-1.70%
11/25/1997	946.67	0.44%
11/26/1997	950.82	0.09%
11/28/1997	951.64	0.40%
12/01/1997	955.4	2.03%
12/02/1997	974.78	-0.32%
12/03/1997	971.68	0.52%
12/04/1997	976.77	-0.38%
12/05/1997	973.1	1.10%
12/08/1997	983.79	-0.14%
12/09/1997	982.37	-0.67%
12/10/1997	975.78	-0.61%
12/11/1997	969.79	-1.53%
12/12/1997	954.94	-0.16%
12/15/1997	953.39	1.05%
12/16/1997	963.39	0.48%
12/17/1997	968.04	-0.26%
12/18/1997	965.54	-1.06%
12/19/1997	955.3	-0.89%
12/22/1997	946.78	0.73%
12/23/1997	953.7	-1.53%
12/24/1997	939.13	-0.68%
12/26/1997	932.7	0.40%
12/29/1997	936.46	1.80%
12/30/1997	953.35	1.83%
12/31/1997	970.84	-0.04%
01/02/1998	970.43	0.48%
01/05/1998	975.04	0.21%
01/06/1998	977.07	-1.07%
01/07/1998	966.58	-0.27%
01/08/1998	964.0	-0.82%
01/09/1998	956.05	-2.97%
01/12/1998	927.69	1.24%
01/13/1998	939.21	1.37%
01/14/1998	952.12	0.61%
01/15/1998	957.94	-0.75%
01/16/1998	950.73	1.13%
01/20/1998	961.51	1.78%
01/21/1998	978.6	-0.80%
01/22/1998	970.81	-0.80%
01/23/1998	963.04	-0.57%
01/26/1998	957.59	-0.07%
01/27/1998	956.95	1.26%
01/28/1998	969.02	0.87%
01/29/1998	977.46	0.82%
01/30/1998	985.49	-0.53%
02/02/1998	980.28	2.14%
02/03/1998	1001.27	0.47%
02/04/1998	1006.0	0.09%
02/05/1998	1006.9	-0.33%
02/06/1998	1003.54	0.89%
02/09/1998	1012.46	-0.17%
02/10/1998	1010.74	0.82%
02/11/1998	1019.01	0.10%
02/12/1998	1020.01	0.40%
02/13/1998	1024.14	-0.40%
02/17/1998	1020.09	0.26%
02/18/1998	1022.76	0.91%
02/19/1998	1032.08	-0.37%
02/20/1998	1028.28	0.58%
02/23/1998	1034.21	0.38%
02/24/1998	1038.14	-0.73%
02/25/1998	1030.56	1.20%
02/26/1998	1042.9	0.55%
02/27/1998	1048.67	0.06%
03/02/1998	1049.34	-0.16%
03/03/1998	1047.7	0.41%
03/04/1998	1052.02	-0.45%
03/05/1998	1047.33	-1.17%
03/06/1998	1035.05	1.99%
03/09/1998	1055.69	-0.32%
03/10/1998	1052.31	1.13%
03/11/1998	1064.25	0.40%
03/12/1998	1068.47	0.14%
03/13/1998	1069.92	-0.12%
03/16/1998	1068.61	1.00%
03/17/1998	1079.27	0.11%
03/18/1998	1080.45	0.47%
03/19/1998	1085.52	0.39%
03/20/1998	1089.74	0.86%
03/23/1998	1099.16	-0.33%
03/24/1998	1095.55	0.92%
03/25/1998	1105.65	-0.34%
03/26/1998	1101.93	-0.10%
03/27/1998	1100.8	-0.49%
03/30/1998	1095.44	-0.17%
03/31/1998	1093.55	0.75%
04/01/1998	1101.75	0.58%
04/02/1998	1108.15	1.07%
04/03/1998	1120.01	0.24%
04/06/1998	1122.7	-0.12%
04/07/1998	1121.38	-1.05%
04/08/1998	1109.55	-0.71%
04/09/1998	1101.65	0.82%
04/13/1998	1110.67	-0.09%
04/14/1998	1109.69	0.55%
04/15/1998	1115.75	0.32%
04/16/1998	1119.32	-1.00%
04/17/1998	1108.17	1.31%
04/20/1998	1122.72	0.08%
04/21/1998	1123.65	0.27%
04/22/1998	1126.67	0.34%
04/23/1998	1130.54	-0.97%
04/24/1998	1119.58	-1.04%
04/27/1998	1107.9	-1.93%
04/28/1998	1086.54	-0.13%
04/29/1998	1085.11	0.88%
04/30/1998	1094.63	1.56%
05/01/1998	1111.75	0.83%
05/04/1998	1121.0	0.10%
05/05/1998	1122.07	-0.59%
05/06/1998	1115.5	-0.95%
05/07/1998	1104.92	-0.89%
05/08/1998	1095.14	1.19%
05/11/1998	1108.14	-0.14%
05/12/1998	1106.64	0.83%
05/13/1998	1115.79	0.28%
05/14/1998	1118.86	-0.13%
05/15/1998	1117.37	-0.77%
05/18/1998	1108.73	-0.26%
05/19/1998	1105.82	0.33%
05/20/1998	1109.52	0.86%
05/21/1998	1119.06	-0.39%
05/22/1998	1114.64	-0.37%
05/26/1998	1110.47	-1.48%
05/27/1998	1094.02	-0.16%
05/28/1998	1092.23	0.49%
05/29/1998	1097.6	-0.62%
06/01/1998	1090.82	0.01%
06/02/1998	1090.98	0.21%
06/03/1998	1093.22	-0.96%
06/04/1998	1082.73	1.12%
06/05/1998	1095.1	1.74%
06/08/1998	1113.86	0.17%
06/09/1998	1115.72	0.24%
06/10/1998	1118.41	-0.55%
06/11/1998	1112.28	-1.59%
06/12/1998	1094.58	0.39%
06/15/1998	1098.84	-1.99%
06/16/1998	1077.01	0.98%
06/17/1998	1087.59	1.79%
06/18/1998	1107.11	-0.07%
06/19/1998	1106.37	-0.52%
06/22/1998	1100.65	0.23%
06/23/1998	1103.21	1.48%
06/24/1998	1119.49	1.20%
06/25/1998	1132.88	-0.32%
06/26/1998	1129.28	0.35%
06/29/1998	1133.2	0.47%
06/30/1998	1138.49	-0.41%
07/01/1998	1133.84	1.30%
07/02/1998	1148.56	-0.19%
07/06/1998	1146.42	0.95%
07/07/1998	1157.33	-0.23%
07/08/1998	1154.66	1.02%
07/09/1998	1166.38	-0.67%
07/10/1998	1158.57	0.50%
07/13/1998	1164.33	0.07%
07/14/1998	1165.19	1.06%
07/15/1998	1177.58	-0.24%
07/16/1998	1174.81	0.78%
07/17/1998	1183.99	0.23%
07/20/1998	1186.75	-0.22%
07/21/1998	1184.1	-1.61%
07/22/1998	1165.07	-0.08%
07/23/1998	1164.08	-2.09%
07/24/1998	1139.75	0.09%
07/27/1998	1140.8	0.57%
07/28/1998	1147.27	-1.48%
07/29/1998	1130.24	-0.45%
07/30/1998	1125.21	1.58%
07/31/1998	1142.95	-1.95%
08/03/1998	1120.67	-0.73%
08/04/1998	1112.44	-3.62%
08/05/1998	1072.12	0.87%
08/06/1998	1081.43	0.76%
08/07/1998	1089.63	-0.02%
08/10/1998	1089.45	-0.58%
08/11/1998	1083.14	-1.31%
08/12/1998	1068.98	1.43%
08/13/1998	1084.22	-0.86%
08/14/1998	1074.91	-1.13%
08/17/1998	1062.75	1.97%
08/18/1998	1083.67	1.62%
08/19/1998	1101.2	-0.29%
08/20/1998	1098.06	-0.59%
08/21/1998	1091.6	-0.95%
08/24/1998	1081.24	0.64%
